compound,vol_pfu_pred,vol_pfu_std,gap_pred,gap_std,delta_H_pred,delta_H_std
PI__s3,66.47311973107797,21.538710150512344,1.7322682542618493,1.1952360729221085,-0.8545245,2.135533561909131
PI__s4,66.75035420221327,22.278000304997565,1.5926664067366934,1.2294910972707933,-0.843718806,2.134943134320583
PI__s5,63.34828416267439,20.882532876677335,1.5071223326626193,1.2203596206894958,-0.8176595,2.1258975063042387
PI__s6,63.29729461290599,20.84512097543605,1.5284931659959524,1.193645831880278,-0.820537278,2.130577827272104
PI__s7,63.91736004500478,21.14439170137989,1.5348431659959525,1.2227592852194358,-0.834787278,2.1398314777430523
PI__s8,63.59793604147743,21.077266137761917,1.571308721551508,1.2264266810084932,-0.840541722,2.144656618098726
PI__s9,63.69980576369965,20.99529798819597,1.5331320548848415,1.2213064913071732,-0.823187278,2.131298882
PI__s10,63.29388773459912,20.401805567930072,1.535409832662619,1.2006859676414585,-0.859762278,2.151662366747635
PSc__s1,40.1253295,11.461440861190315,2.595776185,1.538363511086547,-3.613230833,3.675371060004361
PSc__s2,40.24325425,11.458971577152134,2.784983992346947,1.7555253320099546,-3.880536389,3.6964712068393375
PSc__s3,41.66835734347784,12.051273414007083,3.003782629324005,1.6985689076641615,-3.948280833,3.741605222260274
PSc__s4,41.65046987035626,12.34848145716361,2.9629232462071218,1.5859273692056393,-3.948755437,3.739153302350552
PSc__s5,40.13480069021034,11.442083323270882,2.7674123165333695,1.623241521453541,-3.842353056,3.717665032644277
PSc__s6,40.43108758479723,11.298818672663796,2.810360278896655,1.577150753481757,-3.877753056,3.7123979050311013
PSc__s7,40.40546235,11.51133135662811,2.831056516270392,1.6276462765047133,-3.889468929,3.711682967920684
PSc__s8,40.23979324650112,11.471878195359011,2.824230913817289,1.6160119324108437,-3.895635595,3.72820362
PSc__s9,40.362585020694674,11.386440491194984,2.8131936122299877,1.609357458692717,-3.876336389,3.7190264069142613
PSc__s10,40.37955425,11.436262726099148,2.8253202788966543,1.61462998,-3.868486389,3.7059542213575476
PTi__s1,33.261284750927395,9.978058290473099,2.403309976021894,1.587808834746038,-2.327161756,3.535542562933243
PTi__s2,33.38214446283971,10.207089264053378,2.4957947479013054,1.8401215404826279,-2.860067982,3.6205968552749916
PTi__s3,34.566321924312376,10.883350650207694,2.7496732998571756,1.8091206348845448,-3.080381871,3.7973461999868756
PTi__s4,34.31823264915038,10.363176988928117,2.675858192339421,1.682937523527235,-3.150201871,3.7959238767824424
PTi__s5,33.36936064,10.06450823160357,2.5082259093893153,1.7014821156746687,-2.882506871,3.7137041539520355
PTi__s6,33.70916793797569,9.935602459,2.5617280384192673,1.6568675530543382,-2.913356871,3.6936385037873274
PTi__s7,33.61649454053979,10.033719866718377,2.5999540376977666,1.703485467418941,-2.933678299,3.704415368553287
PTi__s8,33.64663721079069,10.111185677507866,2.5853684230346516,1.6915423073862532,-2.912309648,3.7298489872029807
PTi__s9,33.59120630524568,10.090281421087255,2.5657530384192673,1.6902460859876771,-2.919073537,3.7016363615066044
PTi__s10,33.59865932686458,10.177366130081142,2.572853038419267,1.7001599615088503,-2.917040204,3.7019974136631393
PV__s1,33.688135245176234,10.167211401854628,2.0602620534474982,1.6170890492965317,-1.931257155,3.1321512956004334
PV__s2,33.74937321846683,10.262584667291627,2.003562707419963,1.7626453090881244,-2.288976992,3.196596233638786
PV__s3,35.113019562816824,10.898456643556822,2.4067534328383355,1.8790860142922983,-2.463579769,3.354338020596588
PV__s4,34.814307887010635,10.49102180241784,2.2552824192359244,1.7008953144060097,-2.473986967,3.387607323997234
PV__s5,33.8804435,10.321458683064403,2.148866866521851,1.691499317,-2.312265087,3.2837219658896575
PV__s6,34.18397952188563,10.107839574456106,2.1829089848924905,1.704041161014515,-2.352482547,3.270406876016165
PV__s7,34.091700568894176,10.229010905901484,2.188002318225824,1.7354050027379238,-2.35681588,3.2736597524546083
PV__s8,34.074695013338626,10.553756400472654,2.2211226018311074,1.7193656495798473,-2.354222362,3.3139907910197537
PV__s9,34.099445013338624,10.388498044064114,2.177206207114713,1.7140338879795844,-2.359182547,3.2747610567127903
PV__s10,34.0499098,10.393409537515597,2.190667318225824,1.733073850065254,-2.351649214,3.2761643596073133
PCr__s1,36.32405574056079,12.520818813510713,1.9886850849774937,1.6401671045239372,-1.295117351,3.316480951251815
PCr__s2,36.434187914095574,12.631070538636884,2.0453163553574405,1.8000195182732375,-1.519979915,3.403036540414509
PCr__s3,37.9223524,14.01982770291252,2.371782646186709,1.866562184089637,-1.681496582,3.523888758881107
PCr__s4,37.584139401697236,13.180656429874402,2.2226741524378113,1.7443887071880597,-1.608974915,3.561946392456084
PCr__s5,36.53670050150816,12.576958148721484,2.0835310091629573,1.7131640180322514,-1.497398566,3.4012316602927113
PCr__s6,36.821210136317795,12.405275754525304,2.1186372079933666,1.7142884854241252,-1.530402138,3.407247583873866
PCr__s7,36.78682047076596,12.527883355248179,2.108893041,1.756056708809207,-1.530102138,3.405755998
PCr__s8,36.79562820713586,12.800984802594865,2.142130370386529,1.7266985390421319,-1.529650286,3.4455208952486656
PCr__s9,36.75398534999301,12.587798767190048,2.1053927635489225,1.7284659749999958,-1.530402138,3.407247583873866
PCr__s10,36.67953902520669,12.546060369265238,2.1073483191044775,1.753450373075246,-1.538002138,3.4086165657036354
PMn__s1,35.08817163,12.860642317169976,1.8722545854804153,1.6568980878120319,-2.536910983,2.746929714444342
PMn__s2,35.244474477715464,12.962186717147599,2.023990982539239,1.9309828426120432,-2.875849039,2.7184385293414937
PMn__s3,36.557892346208924,13.895866066500204,2.1792555563410905,1.836241912,-3.063386816,2.8384911641017196
PMn__s4,36.427891666808904,13.19346672153037,2.1153426494534795,1.7590085422920065,-3.078299594,2.895466272961719
PMn__s5,35.46604203978303,12.913165222296698,1.9718224607240802,1.752964437650627,-2.831905745,2.833222840797217
PMn__s6,35.76449442,12.751648729419921,2.0113156965915264,1.7406743581693989,-2.897413483,2.782119136259572
PMn__s7,35.688790531846514,12.919185934746576,2.01307653,1.7860377675181613,-2.935614594,2.7846968734932633
PMn__s8,35.74607172232271,13.199509640441946,2.02955997,1.7845880138508927,-2.936631261,2.7908967977379486
PMn__s9,35.65303330962429,12.952252384814347,2.0105323632581933,1.7717643519484556,-2.933147927,2.789085206920577
PMn__s10,35.38218135713233,12.591956736986841,1.9965123632581931,1.7878060668226174,-2.916047927,2.7924704487693144
PFe__s1,36.10715135694215,12.359109975398855,1.4560373555927073,1.3865926467378622,-0.917309384,2.699578047002074
PFe__s2,36.28109703276168,12.427045556186364,1.3419462724928009,1.2647904372674525,-1.100218218,2.7636468317592366
PFe__s3,37.324716175155665,12.615083720785112,1.714804390821217,1.5684031182385938,-1.273330718,2.8700608133566563
PFe__s4,37.307187406181505,12.895042705041291,1.5659796018649537,1.404262103,-1.209221984,2.9032232264114195
PFe__s5,36.39987228972694,12.419864552751143,1.4631690932702346,1.3882055489682383,-1.114201551,2.776610645060154
PFe__s6,36.64955198225663,12.263936957118034,1.4918864561218077,1.3953525522759012,-1.117601551,2.7698619253279246
PFe__s7,36.64994232,12.372882758391103,1.4476212180265697,1.3994922288274272,-1.123601551,2.770804552250026
PFe__s8,36.69520216777005,12.694719546493804,1.5110043804197322,1.410500859520184,-1.127854329,2.773757485720095
PFe__s9,36.605193862598526,12.435117996972515,1.4754212180265698,1.3932640281581292,-1.116571921,2.7724281924155547
PFe__s10,36.538173728288385,12.320058949784025,1.454854551359903,1.4029327343639102,-1.122857107,2.769810898892184
PCo__s1,36.25676546315069,12.405951960274887,1.4788483636425815,1.4250377399143286,-0.579989005,2.846420466967524
PCo__s2,36.389875719052206,12.55200007,1.3891187838106487,1.3262534479111516,-0.709885087,2.918264528518479
PCo__s3,37.66281876092675,13.054315634042947,1.7043378761235735,1.605985737967638,-0.866424986,3.0783104810522754
PCo__s4,37.79460200679737,13.457798440501382,1.5579672983679869,1.4358905466082503,-0.724230741,3.049231398092752
PCo__s5,36.44269851018264,12.50545640593646,1.487640025640714,1.4276920576833592,-0.723068421,2.9016146877777014
PCo__s6,36.75599683016331,12.37588863775392,1.5064566923073808,1.4331697183734922,-0.716568421,2.8995638354408855
PCo__s7,36.74100383127814,12.457792386913944,1.472290025640714,1.4371616545095571,-0.726601754,2.900500352532832
PCo__s8,36.79122934542583,12.795748200604908,1.5298854102560988,1.445472032865946,-0.726910087,2.9047008350933443
PCo__s9,36.69625537717186,12.519931019186986,1.4942366923073807,1.4340211509909517,-0.716868421,2.899562623007861
PCo__s10,36.59758413175061,12.381091504942223,1.487267803418492,1.453553705082949,-0.72215731,2.900680680357648
PNi__s1,36.33552897693321,12.724723070630946,1.3147384606573171,1.313800007532231,-0.385285894,2.784728520753697
PNi__s2,36.433159485089725,12.851045225142702,1.2259955593123824,1.1952654796565472,-0.525117336,2.886771902895081
PNi__s3,37.564083744722204,13.354636342591377,1.5760250656291517,1.530768478108668,-0.648353447,3.026034005936386
PNi__s4,37.64059627930585,13.790836903464616,1.4105695789202253,1.3441966843376267,-0.599660875,2.9771350495696614
PNi__s5,36.53272486881276,12.811518761016531,1.3363195789202253,1.3281110631848236,-0.544354952,2.8810585110750204
PNi__s6,36.77037318879343,12.683357594606408,1.3519037059043524,1.3371227997494524,-0.534070114,2.8790675750657244
PNi__s7,36.795396856574925,12.767555268413979,1.305755134475781,1.3376498184369483,-0.540703447,2.8731653457188546
PNi__s8,36.89254681516706,13.047041730230498,1.3758760746467211,1.3518399933957912,-0.546278447,2.8808644739519527
PNi__s9,36.75064840246864,12.828383261711016,1.339855134475781,1.335497957040676,-0.543970114,2.8825447964498765
PNi__s10,36.72027716,12.74210202399941,1.3265329122535585,1.3574951046692127,-0.540570114,2.8815447142660404
PCu__s1,36.71615406,11.996260017977535,1.4532019442062272,1.3863662201098328,-0.517026793,2.435574992044999
PCu__s2,36.84124907516352,12.078731292530712,1.3505480951488735,1.2683864204218172,-0.651394038,2.499184319666991
PCu__s3,38.26236471,12.55331736815077,1.7203228109076174,1.5598121808397665,-0.734835881,2.5772274662225314
PCu__s4,37.95220806624033,12.739992303496372,1.5217610036456055,1.367280780237538,-0.708783853,2.5366566872561966
PCu__s5,36.98190032,12.027640339486915,1.4666447338043356,1.3851073525282573,-0.652677842,2.513071311623653
PCu__s6,37.24808083442277,11.930294320301503,1.482897114756717,1.3885131580456673,-0.655427371,2.5075425055857794
PCu__s7,37.225976922839195,12.011314495014986,1.4187337814233836,1.3973146927116509,-0.646221816,2.4696365861233835
PCu__s8,37.14638973857418,12.038627733274694,1.497426943816546,1.408930761312986,-0.670296816,2.5107204492985944
PCu__s9,37.16190465920911,12.10162117879896,1.462260448,1.3926598729186894,-0.662810705,2.511879013048496
PCu__s10,37.129017858232295,11.99209528033876,1.460104336978939,1.410508799028394,-0.663091657,2.5031996437932174
PZn__s1,34.22517628274462,9.559403610795327,1.309221386512258,1.0580650064448867,-0.916092239,2.087980579209211
PZn__s2,34.49356172639527,9.651871069336677,1.330390371,1.1271343439297459,-1.082283473,2.2022257115413915
PZn__s3,36.13552026277599,10.592900283090396,1.5120701814967372,1.1259944060394955,-1.102995398,2.227691293713252
PZn__s4,36.11861374409129,10.325356364069815,1.4208145564468986,1.079306339406779,-1.113278555,2.2503163430638597
PZn__s5,34.787879611320804,9.686315396473764,1.3448575194098613,1.0775079048078378,-1.041883685,2.1835378169005812
PZn__s6,35.09481470343458,9.853403049643667,1.3664306675580096,1.0806644808824426,-1.049917918,2.1664862369565645
PZn__s7,35.01781355382757,9.824076086519206,1.2908881675580097,1.0861875289904308,-1.057646807,2.1497771577560556
PZn__s8,34.89858986264356,9.780971889853001,1.3873484453357874,1.1009378765923754,-1.081477918,2.1895522190938546
PZn__s9,34.94085977005096,9.763325439048089,1.3527806675580096,1.0814449615977935,-1.060835854,2.1767012770022878
PZn__s10,34.91914677859797,9.681766694875279,1.3457130485103905,1.0847896709872884,-1.057289029,2.1746885774190043
PY__s1,47.297316597011665,12.09011556833998,2.532739591588264,1.5654359420563961,-2.878632146,3.8066547158159665
PY__s2,47.61177287201004,11.99135348438167,2.734299041602188,1.793554482240004,-3.132586313,3.862203865380614
PY__s3,50.887263934648246,14.512081419430661,2.8614543727656923,1.720907341,-3.22505298,3.940976695922991
PY__s4,50.413154035767455,13.86573902412315,2.8601821843512516,1.6421141802198957,-3.198169646,3.911610734221576
PY__s5,47.72299230536475,12.161377108842109,2.688006137330639,1.6606415841695759,-3.113936313,3.8826026187005995
PY__s6,47.97738731645448,12.123622368816072,2.7147873034605374,1.6195809007937247,-3.14560298,3.8873007366463592
PY__s7,48.11668024502592,12.264994444890727,2.7408999710090387,1.6591844336144128,-3.151674408,3.88941346
PY__s8,47.943641205343376,12.285871203879838,2.742372180003747,1.6410052576117562,-3.123402186,3.923658568
PY__s9,47.950253983121144,12.126718655194923,2.721601809633377,1.6445976087445902,-3.143619646,3.8898286884309035
PY__s10,48.04756731645449,12.155509276545615,2.7323703281518954,1.6521578772343644,-3.130736313,3.877675669
PZr__s1,39.87479058703943,11.699001926246694,2.1858851846438934,1.542923966926496,-2.189762511,3.5925103590243346
PZr__s2,39.94522015559734,11.610291874417864,2.284896717991151,1.7724230842460666,-2.374877561,3.6376103279116827
PZr__s3,41.30182597187629,12.304379082995618,2.488643971214077,1.7039294659809134,-2.451285895,3.707659911698228
PZr__s4,41.53984028238799,12.892441636810252,2.443423753699107,1.6320931091817987,-2.414253648,3.7203842242861156
PZr__s5,40.11927273496242,11.691917567214075,2.3076047638001174,1.6302579435007372,-2.383427561,3.6618240862894074
PZr__s6,40.15444126670845,11.616584691999817,2.3201541156519694,1.6273305724552622,-2.404727561,3.6716386352888235
PZr__s7,40.37040559637878,12.069220287736474,2.3617850812604346,1.6524562414193809,-2.408660895,3.673161618
PZr__s8,40.01888571,11.753399464444781,2.388759208244562,1.6318250751473504,-2.401697932,3.718155594806561
PZr__s9,40.09488710004178,11.609388673008196,2.328864763800117,1.6375833753740856,-2.408494228,3.6735446278408466
PZr__s10,40.173060016708455,11.646328879332826,2.338759208244561,1.6450986789158815,-2.394260895,3.6576368984159404
PNb__s1,33.79272438606412,8.715591266764747,1.7906776327160234,1.5556532321517347,-1.628742183,3.306430379
PNb__s2,33.96966995250304,8.641593052690238,1.9402472200421819,1.8347317973586001,-1.797405278,3.3534944379493314
PNb__s3,35.21406831438358,10.295483471400646,2.1543893742596536,1.817089573378602,-1.797035834,3.4690904548291295
PNb__s4,34.588313163040866,9.210357640999321,2.0316942573267927,1.763477176446086,-1.793861671,3.4319701285838735
PNb__s5,34.12427323533132,8.854508601443264,1.914398878538914,1.675234686327784,-1.776455278,3.362166772686266
PNb__s6,34.277621846442436,8.839600342714919,1.9465738785389142,1.7003318504486418,-1.798355278,3.3576525613630923
PNb__s7,34.33341896182705,9.324023458122506,1.972457489650025,1.7308815709539211,-1.807488612,3.367421270838885
PNb__s8,34.10964446549006,8.911156068980778,1.977964006744042,1.7149053006394426,-1.795358056,3.394184403780815
PNb__s9,34.14632244168053,8.966954876365554,1.9463422118722473,1.7109448917159271,-1.809088612,3.365698168048833
PNb__s10,34.197403096442436,8.910157794429663,1.954544989650025,1.7187549095066976,-1.783055278,3.3641657664787132
PMo__s1,34.78214414,10.861380964170133,1.9509866711870658,1.6339146094992731,-0.792241408,3.3677823286703834
PMo__s2,34.98237025979472,10.603423179981252,2.077039135497351,1.8462980993406033,-0.910624742,3.4168552813283477
PMo__s3,36.128360551628674,11.231570938644909,2.275794441732153,1.8171792972897054,-0.920752519,3.4979482948265717
PMo__s4,35.69610040916163,10.79820504054385,2.144375932882973,1.7404973965828539,-0.915591556,3.492158451703775
PMo__s5,35.229695259794724,10.753908729695974,2.0762753773274167,1.7305265860737642,-0.90188685,3.4139386314814355
PMo__s6,35.273866093128056,10.556134238923036,2.0881848217718613,1.732273763819806,-0.932146964,3.426697148
PMo__s7,35.41566320851267,11.068950505052031,2.105787877327417,1.7546263858525883,-0.926630297,3.4152800050630616
PMo__s8,35.23606732328678,10.954380972623454,2.114209651,1.7389669651327586,-0.917971964,3.4471739038514535
PMo__s9,35.24106192646139,10.736234893726984,2.0830331551051944,1.7427441258723693,-0.933946964,3.4261176822592696
PMo__s10,35.30223179,10.807938482585667,2.0942281551051947,1.749059546459614,-0.933746964,3.4229484237240837
PTc__s1,33.77224534,10.557720919459314,1.868467175448045,1.7082290605825676,-0.743714832,3.515002098681657
PTc__s2,34.031049267205574,10.389391423902191,1.9552566437265846,1.9057828929258078,-0.95741372,3.5971002160560603
PTc__s3,35.02898303933472,11.066729753168433,2.2297824300123805,1.9218416722026095,-1.116931397,3.755031551353241
PTc__s4,34.98490299006038,10.867331662283455,2.0781848913286556,1.83315472,-1.050997961,3.770505104809552
PTc__s5,34.31423815609446,10.665250373208623,1.9726833617471258,1.7859598236122594,-0.952360943,3.643963738961463
PTc__s6,34.42235898942779,10.592828365021948,1.9894361395249036,1.7936440716548478,-0.993519276,3.651336818896891
PTc__s7,34.537589438145744,10.993323490158389,2.016421139524904,1.8259791267355956,-0.990552609,3.6525830556322654
PTc__s8,34.44438815609446,10.91357529017191,2.022457378841143,1.8200532530191427,-0.973172054,3.6761489234164566
