Ion_rad_avg,BP_avg,MP_avg,Density_avg,At_wt_avg,Cov_rad_avg,Ion_Energy_avg,Elec_Aff_avg,At_vol_avg,Thermal_expn_avg,Sp_heat_cap_avg,Therm_cond_avg,Elec_cond_avg,Heat_fusion_avg,Heat_vap_avg,Electronegativity_avg,At_num_avg,Period_avg,Group_avg,Ox_state_avg,Ion_rad_diff,BP_diff,MP_diff,Density_diff,At_wt_diff,Cov_rad_diff,Ion_Energy_diff,Elec_Aff_diff,At_vol_diff,Thermal_expn_diff,Sp_heat_cap_diff,Therm_cond_diff,Elec_cond_diff,Heat_fusion_diff,Heat_vap_diff,Electronegativity_diff,At_num_diff,Period_diff,Group_diff,Ox_state_diff,structure_encoded
1.3050000000000002,1359.0,712.315,1.54,62.775,1.9500000000000002,496.4,-54.555,40.9,56.65,0.505,129.1,39.55,5.435,111.935,0.9099999999999999,28.5,4.5,1.5,1.5,0.6100000000000001,796.0,799.37,0.020000000000000018,45.39,0.42000000000000015,186.79999999999995,202.89,30.0,68.7,0.29000000000000004,141.8,16.499999999999996,6.1899999999999995,85.46999999999998,0.18000000000000005,17,1,1,1,1
0.725,3191.5,1681.0,5.46,88.13499999999999,1.235,744.2,-95.0,11.7,10.350000000000001,0.995,107.15,13.1,14.43,294.94,1.405,36.0,4.0,2.5,2.5,0.55,103.0,242.0,7.220000000000001,158.25,0.67,310.4,290.0,13.399999999999999,1.9000000000000004,1.6500000000000001,185.7,23.8,5.439999999999998,4.1200000000000045,0.33000000000000007,64,4,1,1,1
0.96,4023.5,2007.0,14.805,168.23000000000002,1.455,705.0,100.0,14.57,6.65,0.16,81.75,11.450000000000001,18.62,423.63,1.67,68.5,6.0,6.0,3.5,0.66,1353.0,1426.0,15.590000000000002,47.97999999999999,0.3699999999999999,350.0,100.0,12.060000000000002,0.5,0.06,130.5,19.7,15.479999999999999,279.90000000000003,1.0600000000000003,17,0,6,1,1
0.95,3453.5,1614.5,5.775,96.06,1.48,594.0,35.0,15.620000000000001,7.75,0.355,19.2,2.1,14.740000000000002,354.44,1.3399999999999999,41.0,5.0,3.5,3.5,0.68,213.0,641.0,2.4699999999999998,96.36000000000001,0.31999999999999984,128.0,30.0,9.96,1.6999999999999993,0.33,5.399999999999999,1.0,7.720000000000001,141.51999999999998,0.40000000000000013,38,2,1,1,1
0.815,2210.5,1337.5,6.84,116.08500000000001,1.405,769.5,63.5,16.5,6.7,0.28500000000000003,30.3,2.3,21.59,172.05499999999998,1.6800000000000002,48.5,5.0,9.0,3.0,0.4700000000000001,2669.0,495.0,2.12,82.33,0.41000000000000014,355.0,27.0,6.799999999999999,17.4,0.09000000000000002,39.4,3.0,12.219999999999999,279.31,0.9600000000000002,31,2,12,0,1
1.5699999999999998,1915.925,947.475,5.675000000000001,119.415,1.365,851.95,187.3,22.4,4.7,0.20500000000000002,5.609999999999999,0.45,8.045,154.86,2.08,50.0,5.0,10.0,2.0,0.78,3168.15,1363.05,5.11,79.03,0.4500000000000002,575.9000000000001,274.6,6.400000000000002,9.4,0.05000000000000002,10.98,0.9,5.510000000000001,280.28,1.76,30,2,14,2,1
0.86,3120.0,1281.25,5.465,92.955,1.385,570.8,47.5,14.6,16.25,0.54,124.05,19.3,10.75,292.9,1.405,39.0,4.5,8.0,3.0,0.6399999999999999,760.0,695.5,5.53,131.95000000000002,0.41000000000000014,13.600000000000023,5.0,9.2,13.700000000000001,0.72,225.9,36.800000000000004,0.10000000000000142,4.199999999999989,0.41000000000000014,52,3,10,0,1
0.6699999999999999,2902.5,1766.0,7.055,62.684999999999995,1.3050000000000002,724.35,-60.0,11.135000000000002,15.600000000000001,0.63,136.5,18.65,17.235,347.685,1.7550000000000001,28.0,4.0,5.0,2.5,0.09999999999999998,3045.0,1688.0,10.629999999999999,76.77,0.1100000000000001,26.700000000000045,340.0,5.67,18.4,0.78,39.0,7.499999999999998,16.57,440.16999999999996,0.8900000000000001,32,2,6,1,1
0.59,3350.5,2392.5,12.540000000000001,129.385,1.25,858.5,68.5,11.315,9.95,0.23,112.0,11.0,31.549999999999997,227.48999999999998,2.26,53.5,5.0,10.5,4.5,0.020000000000000018,4949.0,2605.0,13.52,108.92999999999999,0.10000000000000009,177.0,17.0,3.5700000000000003,10.9,0.2,124.0,14.399999999999999,7.699999999999999,390.18,0.19999999999999973,41,2,9,3,1
0.855,1817.44,980.155,11.225000000000001,129.64,1.3199999999999998,871.85,55.5,10.705,31.2,0.29000000000000004,49.52,7.8,9.745,218.4,1.955,54.0,5.0,11.0,2.0,0.33000000000000007,2375.12,1491.69,4.65,141.9,0.3400000000000001,270.29999999999995,111.0,8.23,35.6,0.3,82.36,13.6,14.91,318.2,0.09000000000000008,52,2,2,0,1
1.4,2506.925,1196.975,4.8149999999999995,85.56,1.295,899.95,187.3,19.85,2.85,0.255,11.41,1.15,13.145,302.61,2.145,37.5,4.5,10.5,2.5,1.12,4350.15,1862.05,3.3899999999999997,11.319999999999993,0.31000000000000005,479.9000000000001,274.6,11.500000000000002,5.7,0.05000000000000002,22.58,2.3,15.71,575.78,1.63,5,1,13,3,1
